name	rating	lat	lon	idx	address
Школа № 1980	23	55.532528	37.528608	88	Россия, Москва, Чечёрский проезд, 56
Школа № 1980	23	55.53832812177657	37.539585844293356	89	Россия, Москва, Чечёрский проезд, 22к1
Школа № 1980	23	55.53204507290389	37.52299428572394	90	Россия, Москва, Чечёрский проезд, 80
Школа № 1576	24	55.836081	37.5273	91	Россия, Москва, 3-й Михалковский переулок, 16
Школа № 1576	24	55.838541	37.533669	92	Россия, Москва, Михалковская улица, 14
Школа № 1576	24	55.841784	37.541934	93	Россия, Москва, 4-й Новомихалковский проезд, 9А
Школа № 1576	24	55.822924	37.529258	94	Россия, Москва, Большая Академическая улица, 22А
Школа № 1576	24	55.816796	37.519912	95	Россия, Москва, улица Космонавта Волкова, 23
Школа № 1576	24	55.828868	37.526831	96	Россия, Москва, бульвар Матроса Железняка, 12
Школа № 1252 имени Сервантеса	25	55.809364	37.495828	97	Россия, Москва, Волоколамское шоссе, 12
Школа № 1252 имени Сервантеса	25	55.810230909	37.49495246	98	Россия, Москва, Волоколамское шоссе, 14А
Школа № 1252 имени Сервантеса	25	55.810127	37.496353	99	Россия, Москва, Дубосековская улица, 3
Школа № 1252 имени Сервантеса	25	55.808411	37.501399	100	Россия, Москва, Волоколамское шоссе, 6
Предуниверситарий НИЯУ МИФИ	26	55.648099886	37.65221598	101	Россия, Москва, Пролетарский проспект, 6, корп. 3
Предуниверситарий НИЯУ МИФИ	26	55.676993126	37.681306017	102	Россия, Москва, Кленовый бульвар, 21
Школа № 1357	27	55.660234	37.764541	103	Россия, Москва, Перервинский бульвар, 10, корп. 1
Школа № 1357	27	55.666578	37.757405	104	Россия, Москва, улица Верхние Поля, 30
Школа № 1357	27	55.656874	37.756015	105	Россия, Москва, Мячковский бульвар, 7, корп. 2
Школа № 1357	27	55.650583	37.76199	106	Россия, Москва, Мячковский бульвар, 25
Школа № 1357	27	55.666936	37.77799	107	Россия, Москва, улица Верхние Поля, 47, корп. 1
Школа № 1357	27	55.659905	37.763519	108	Россия, Москва, Перервинский бульвар, 10, корп. 2
Школа № 1357	27	55.656486	37.754987	109	Россия, Москва, Мячковский бульвар, 7, корп. 1
ГБПОУ Ок Юго-Запад	28	55.680093	37.605807	110	Россия, Москва, Нагорная улица, 16, корп. 1
ГБПОУ Ок Юго-Запад	28	55.683875	37.592819	111	Россия, Москва, Большая Черёмушкинская улица, 17А
ГБПОУ Ок Юго-Запад	28	55.68824433218545	37.551849970967965	112	Россия, Москва, Ломоносовский проспект, 4, корп. 3
ГБПОУ Ок Юго-Запад	28	55.677808	37.538539	113	Россия, Москва, улица Вавилова, 84, корп. 2
Школа № 1557	29	55.997998	37.231716	114	Россия, Москва, Зеленоград, к509
Школа № 1557	29	55.990006	37.255446	115	Россия, Москва, Зеленоград, к529
Школа № 1557	29	55.994246	37.222331	116	Россия, Москва, Зеленоград, к344А
Школа № 1571	30	55.85738333983737	37.44684216821176	117	Россия, Москва, улица Фомичёвой, 1, корп. 1
Школа № 1571	30	55.862147	37.445105	118	Россия, Москва, улица Свободы, 81, корп. 1
Школа № 1571	30	55.859786166	37.438715942	119	Россия, Москва, Планерная улица, 12, корп. 2
Школа № 1571	30	55.85669648348091	37.444130469164406	120	Россия, Москва, ул. Фомичёвой, 5
Школа № 1571	30	55.862985	37.441712	121	Россия, Москва, улица Свободы, 81, корп. 6
Школа № 1571	30	55.858754	37.443807	122	Россия, Москва, улица Фомичёвой, 8, корп. 1
Школа № 1571	30	55.85336488	37.44737917	123	Россия, Москва, улица Свободы, 63, корп. 2
Школа № 1571	30	55.85610951305746	37.44394810185225	124	Россия, Москва, улица Фомичёвой, 5, корп. 1
Школа Глория	31	55.895111	37.636101	125	Россия, Москва, улица Корнейчука, 37А
Школа Глория	31	55.895671	37.616264	126	Россия, Москва, Белозерская улица, 12
Школа Глория	31	55.895456	37.624855	127	Россия, Москва, улица Корнейчука, 52А
Школа Глория	31	55.901755486068446	37.59019150288708	128	Россия, Москва, Алтуфьевское шоссе, 94
Школа № 1517	32	55.784987	37.451553	129	Россия, Москва, Живописная улица, 11, корп. 2
Школа № 1517	32	55.785731	37.457658	130	Россия, Москва, улица Маршала Тухачевского, 58, корп. 2
Школа № 1517	32	55.769775	37.471725	131	Россия, Москва, Карамышевская набережная, 38
Школа № 1517	32	55.785448	37.452013	132	Россия, Москва, Живописная улица, 11к3
Школа № 1517	32	55.780364	37.457273	133	Россия, Москва, Живописная улица, 2, корп. 2
Школа № 1517	32	55.775006	37.462869	134	Россия, Москва, Карамышевская набережная, 54, корп. 2
Школа № 1799	33	55.73707	37.618381	135	Россия, Москва, Бродников переулок, 3А
Школа № 1799	33	55.723442	37.605897	136	Россия, Москва, Донская улица, 10
Школа № 1799	33	55.723935	37.606569	137	Россия, Москва, Донская улица, 8
Школа № 1799	33	55.722518	37.608161	138	Россия, Москва, Донская улица, 21
Школа № 1799	33	55.74315	37.626044	139	Россия, Москва, улица Большая Ордынка, 15
Школа № 1799	33	55.744235	37.621153	140	Россия, Москва, 1-й Кадашёвский переулок, 3, стр. 1
Школа № 962	34	55.859911	37.592911	141	Россия, Москва, улица Санникова, 3, корп. 3
